participant,question,original_column,phase,response
14,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
15,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,2 - Low
16,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,5 - Very high
17,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
18,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
19,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
20,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
21,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
22,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
23,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
24,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
25,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,3 - Average
26,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
28,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
29,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,4 - High
30,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),before,2 - Low
0,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,4 - High
1,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,5 - Very high
2,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
3,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
4,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,4 - High
5,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,1 - Very Low
6,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
7,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
8,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
9,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
10,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,4 - High
11,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
12,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
13,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
14,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
15,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,4 - High
16,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
17,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,1 - Very Low
18,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
19,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
20,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,4 - High
21,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
22,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
23,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,1 - Very Low
24,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,5 - Very high
25,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,3 - Average
26,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,5 - Very high
27,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
28,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,1 - Very Low
29,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,1 - Very Low
30,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .1,during,2 - Low
0,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,5 - Very high
1,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,5 - Very high
2,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
3,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
4,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,5 - Very high
5,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
6,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
7,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
8,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
9,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
10,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
11,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
12,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
13,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
14,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
15,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
16,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
17,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
18,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
19,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
20,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,5 - Very high
21,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
22,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,5 - Very high
23,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
24,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
25,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
26,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
27,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
28,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,3 - Average
29,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,4 - High
30,How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)),How would you rate your academic productivity during this time? (Question adapted from Ralph et al. (2020); Russo et al. (2021)) .2,after,2 - Low
0,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
1,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
2,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,5 - Very High
3,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
4,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
5,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
6,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
7,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
8,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
9,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
10,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
11,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
12,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
13,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
14,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
15,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
16,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
17,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
18,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
19,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
20,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
21,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
22,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
23,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
24,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,2 - Low
25,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
26,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
28,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,4 - High
29,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,3 - Average
30,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),before,2 - Low
0,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
1,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
2,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
3,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
4,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,5 - Very High
5,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
6,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
7,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,5 - Very High
8,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
9,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
10,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
11,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
12,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
13,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,2 - Low
14,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
15,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
16,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
17,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
18,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,2 - Low
19,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
20,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,5 - Very High
21,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
22,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
23,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,3 - Average
24,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
25,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
26,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,5 - Very High
27,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,4 - High
28,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,1 - Very low
29,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,1 - Very low
30,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .1,during,2 - Low
0,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,5 - Very High
1,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
2,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,2 - Low
3,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
4,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,5 - Very High
5,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
6,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
7,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,5 - Very High
8,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
9,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
10,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
11,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
12,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,2 - Low
13,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,2 - Low
14,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
15,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
16,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,5 - Very High
17,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,2 - Low
18,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
19,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,3 - Average
20,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,5 - Very High
21,How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)),How much was your academic workload on average? (Question adapted from Baticulon et al. (2021)) .2,after,4 - High
